Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,-0.3047543466091156,3.50075364112854,78.484375,0.6473380294696837,-1.816547174561257,-90.83097647968555,6.0577292,6.4435434,17.374985,6.969465,-11.180029,-6.4277654,0.3066073,-4.881696,3.6138358,14.252022,-12.849406,6.1033645,-5.105185,0.90017503,9.40539,0.35280138,14.856155,-33.556564,57.150738,7.386613,1.310283,10.736194,7.9197106,-13.210162,29.977652,61.887173,-4.8758283,-3.5747309,-16.685535
23,-0.33879199624061584,3.583812713623047,78.47482299804688,0.7120303150067849,-1.4839968064537188,-90.76582031723363,5.5568404,6.3951306,17.29637,7.0296583,-11.080369,-6.387842,-0.3894393,-4.9208827,3.587432,14.799441,-13.032205,6.055947,-5.265029,0.8644751,9.43708,-0.042540323,15.122622,-33.591034,56.80265,7.465077,1.2305743,10.8264675,8.543245,-13.449833,29.906576,61.919876,-4.91624,-3.4742093,-16.641537
24,-0.37650662660598755,3.661823272705078,78.46649932861328,0.7807973446270928,-1.1476223147931262,-90.69623340500031,5.0479784,6.342064,17.214697,7.0914116,-10.97539,-6.340065,-1.1058879,-4.96464,3.5644557,15.379,-13.224645,6.014512,-5.427438,0.8278464,9.476803,-0.45232338,15.401931,-33.611324,56.434917,7.5574784,1.1699582,10.901524,9.212375,-13.695959,29.816656,61.935066,-4.890427,-3.4191744,-16.615671
25,-0.4151490032672882,3.749143600463867,78.45620727539062,0.8579574883311046,-0.8078081553700933,-90.62328720113241,4.4628463,6.304166,17.124437,7.3090224,-10.9449415,-6.278229,-1.8467664,-5.0138016,3.548558,15.999695,-13.427842,5.9834676,-5.590142,0.78875583,9.524914,-0.8843877,15.691834,-33.62118,56.052414,7.6709237,1.137041,10.954457,9.929876,-13.949809,29.713743,61.940243,-4.745665,-3.4370673,-16.62402
26,-0.4573310315608978,3.8242123126983643,78.44477081298828,0.9403076705747248,-0.4638974773018198,-90.54460503499372,3.733679,6.302578,17.015177,7.8266153,-11.067136,-6.206262,-2.604209,-5.068503,3.534505,16.642633,-13.637671,5.9598975,-5.7566085,0.7483655,9.581841,-1.3421273,15.991897,-33.628815,55.659782,7.7943587,1.1169014,10.997394,10.69062,-14.2120905,29.590618,61.93829,-4.518073,-3.4954236,-16.648766
27,-0.5045251250267029,3.900822162628174,78.42877197265625,1.0254066711804533,-0.11556467336903174,-90.45959274993209,2.974745,6.3031483,16.897238,8.390335,-11.208614,-6.13428,-3.3843925,-5.126343,3.519605,17.322,-13.861849,5.9367423,-5.9302163,0.7098764,9.645428,-1.8074728,16.30081,-33.61755,55.248863,7.923278,1.1010367,11.037198,11.492814,-14.480753,29.43919,61.910095,-4.2972617,-3.5568287,-16.66777
28,-0.5456128120422363,3.997513771057129,78.40380096435547,1.1119395785920514,0.23731937715127568,-90.36765441486696,2.1873693,6.3075676,16.768158,8.995307,-11.369004,-6.0730286,-4.1867905,-5.1854434,3.500459,18.03817,-14.10352,5.9071813,-6.114761,0.67503285,9.71308,-2.2631814,16.617376,-33.570152,54.81363,8.052705,1.0811759,11.080977,12.33112,-14.75352,29.251835,61.84141,-4.1734567,-3.5837643,-16.660025
29,-0.5928848385810852,4.088181018829346,78.37313079833984,1.2005008150865182,0.5959981909427208,-90.27160203838805,1.3745587,6.312677,16.630411,9.632963,-11.546648,-6.0242434,-5.017841,-5.246439,3.4809098,18.799147,-14.364481,5.8675995,-6.3110805,0.6418717,9.784256,-2.7042704,16.940897,-33.47206,54.349293,8.194612,1.0561587,11.131329,13.20704,-15.028462,29.0175,61.733246,-4.175513,-3.5615988,-16.615257
30,-0.638769268989563,4.173055648803711,78.34313201904297,1.2933231973006585,0.9598906016019068,-90.17085659969902,0.53501123,6.3172045,16.484404,10.309423,-11.743504,-5.9810796,-5.8749847,-5.3110523,3.4617836,19.600624,-14.643599,5.8228784,-6.516983,0.6086216,9.859819,-3.141576,17.271608,-33.336082,53.86272,8.347242,1.0301532,11.184473,14.122072,-15.304744,28.741741,61.592846,-4.2539706,-3.5119774,-16.54677
31,-0.6909604072570801,4.2649993896484375,78.30450439453125,1.3877001166631895,1.3265423148082078,-90.06010391693091,-0.33453488,6.3249707,16.324703,11.036283,-11.960623,-5.9411263,-6.7479672,-5.378601,3.4356322,20.432018,-14.938465,5.778151,-6.7317085,0.5780007,9.939927,-3.5811923,17.61007,-33.185387,53.364063,8.485429,1.0023139,11.23767,15.071964,-15.581131,28.441513,61.413593,-4.380704,-3.451735,-16.46862
32,-0.7491557002067566,4.345813274383545,78.26181030273438,1.4814176785834676,1.693530306591513,-89.93376343785316,-1.2417645,6.3411045,16.145197,11.833587,-12.203707,-5.902514,-7.62535,-5.447991,3.3944097,21.279613,-15.246967,5.7382417,-6.954962,0.553128,10.0245495,-4.028897,17.957018,-33.043247,52.862904,8.5836935,0.971744,11.28819,16.052393,-15.8559265,28.135427,61.18946,-4.5271683,-3.3976002,-16.395378
33,-0.815455436706543,4.424643516540527,78.21070098876953,1.5755546331407306,2.067789914463206,-89.78807169283554,-2.2017555,6.365379,15.938183,12.713693,-12.475098,-5.8648057,-8.512368,-5.522137,3.3338094,22.13973,-15.568704,5.7063694,-7.1877656,0.53416455,10.1054,-4.4923124,18.312777,-32.9211,52.36364,8.617418,0.9403284,11.331929,17.066792,-16.127827,27.823153,60.93144,-4.7236953,-3.338625,-16.323206
